Exterior Color,Interior Color,Engine,Transmission,DriveTrain,City MPG,HWY MPG,Combine MPG,HorsePower,Max Towing,Seats,Price
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Autumn Green Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Crystal White Pearl,Slate Black leather,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Magnetite Gray Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Autumn Green Metallic,Warm Ivory leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Platinum Quartz,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Machine Gray Metallic,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Crystal White Pearl,Slate Black Nappa premium leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Dark Mahogany Pearl,,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Jet Black Mica,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Autumn Green Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Crystal White Pearl,Slate Black leather,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Magnetite Gray Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Autumn Green Metallic,Warm Ivory leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Platinum Quartz,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Machine Gray Metallic,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Crystal White Pearl,Slate Black Nappa premium leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Dark Mahogany Pearl,,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Jet Black Mica,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Autumn Green Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Crystal White Pearl,Slate Black leather,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Magnetite Gray Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Autumn Green Metallic,Warm Ivory leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Platinum Quartz,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Machine Gray Metallic,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Crystal White Pearl,Slate Black Nappa premium leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Dark Mahogany Pearl,,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Jet Black Mica,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Autumn Green Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Crystal White Pearl,Slate Black leather,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Magnetite Gray Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Autumn Green Metallic,Warm Ivory leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Platinum Quartz,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Machine Gray Metallic,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Crystal White Pearl,Slate Black Nappa premium leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Dark Mahogany Pearl,,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Jet Black Mica,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Autumn Green Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Crystal White Pearl,Slate Black leather,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Magnetite Gray Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Autumn Green Metallic,Warm Ivory leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Platinum Quartz,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Machine Gray Metallic,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Crystal White Pearl,Slate Black Nappa premium leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Dark Mahogany Pearl,,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Jet Black Mica,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Autumn Green Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Crystal White Pearl,Slate Black leather,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Magnetite Gray Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Autumn Green Metallic,Warm Ivory leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Platinum Quartz,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Machine Gray Metallic,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Crystal White Pearl,Slate Black Nappa premium leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Dark Mahogany Pearl,,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Jet Black Mica,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Autumn Green Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Crystal White Pearl,Slate Black leather,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Magnetite Gray Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Autumn Green Metallic,Warm Ivory leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Platinum Quartz,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Machine Gray Metallic,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Crystal White Pearl,Slate Black Nappa premium leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Dark Mahogany Pearl,,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Jet Black Mica,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Autumn Green Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Crystal White Pearl,Slate Black leather,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Magnetite Gray Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Autumn Green Metallic,Warm Ivory leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Platinum Quartz,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Machine Gray Metallic,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Crystal White Pearl,Slate Black Nappa premium leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Dark Mahogany Pearl,,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Jet Black Mica,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Autumn Green Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Crystal White Pearl,Slate Black leather,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Magnetite Gray Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Autumn Green Metallic,Warm Ivory leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Platinum Quartz,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Machine Gray Metallic,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Crystal White Pearl,Slate Black Nappa premium leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Dark Mahogany Pearl,,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Jet Black Mica,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Autumn Green Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Crystal White Pearl,Slate Black leather,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Magnetite Gray Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Autumn Green Metallic,Warm Ivory leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Platinum Quartz,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Machine Gray Metallic,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Crystal White Pearl,Slate Black Nappa premium leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Dark Mahogany Pearl,,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Jet Black Mica,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Autumn Green Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Crystal White Pearl,Slate Black leather,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Magnetite Gray Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Autumn Green Metallic,Warm Ivory leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Platinum Quartz,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Machine Gray Metallic,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Crystal White Pearl,Slate Black Nappa premium leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Dark Mahogany Pearl,,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Jet Black Mica,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Autumn Green Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Crystal White Pearl,Slate Black leather,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Magnetite Gray Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Autumn Green Metallic,Warm Ivory leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Platinum Quartz,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Machine Gray Metallic,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Crystal White Pearl,Slate Black Nappa premium leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Dark Mahogany Pearl,,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Jet Black Mica,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Autumn Green Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Crystal White Pearl,Slate Black leather,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Magnetite Gray Metallic,Gray StarTex leatherette,gas,automatic,all wheel drive,21,26,23,260,3500,5,40000-50000
Autumn Green Metallic,Warm Ivory leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Jet Black Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Machine Gray Metallic,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Platinum Quartz,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Deep Crystal Blue Mica,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Machine Gray Metallic,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Crystal White Pearl,Slate Black Nappa premium leather,gas,automatic,all wheel drive,22,29,25,260,3500,5,40000-50000
Dark Mahogany Pearl,,gas,automatic,all wheel drive,26,32,28,182,2700,5,40000-50000
Jet Black Mica,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Greige leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,8,40000-50000
Rhodium White Premium,Black leather,mild hybrid,automatic,all wheel drive,,,,280,5000,7,40000-50000
